name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0,0.249977,-0.499954,0.499954
mfgw_upland,0,0.25,-0.5,0.5,0,0.25,-0.5,0.5
mk_rest_l1,0,0.325257,-0.650515,0.650515,0,0.325023,-0.650046,0.650046
mk_rest_l2,0,0.325257,-0.650515,0.650515,0,0.227992,-0.455984,0.455984
mk_ring_l1,0,0.325257,-0.650515,0.650515,0,0.325256,-0.650511,0.650511
mk_ring_l2,0,0.25,-0.5,0.5,0,0.249985,-0.49997,0.49997
mk_upland_l1,0,0.305462,-0.610924,0.610924,0,0.305462,-0.610924,0.610924
mk_upland_l2,0,0.305462,-0.610924,0.610924,0,0.305462,-0.610924,0.610924
mr_rest,0,0.238561,-0.477121,0.477121,0,0.16742,-0.334839,0.334839
mr_upland,0,0.238561,-0.477121,0.477121,0,0.238561,-0.477121,0.477121
