name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.209708,0.249932,-0.290155,0.709572
mfgw_upland,0,0.25,-0.5,0.5,-0.080614,0.25,-0.580614,0.419386
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.896538,0.325191,-1.54692,-0.246156
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.252365,0.214595,-0.176825,0.681554
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.138131,0.325256,-0.788642,0.512381
mk_ring_l2,0,0.25,-0.5,0.5,-0.266994,0.249972,-0.766938,0.23295
mk_upland_l1,0,0.305462,-0.610924,0.610924,-0.268292,0.305459,-0.879211,0.342626
mk_upland_l2,0,0.305462,-0.610924,0.610924,-0.493156,0.305422,-1.104,0.117688
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.181128,-0.106983,0.617528
mr_upland,0,0.238561,-0.477121,0.477121,-0.678464,0.238251,-1.15497,-0.201963
